State,District,DR,SRB,LR,CSP,CL,NGR,IMR,U5MR
Assam,Assam,60.8,947,81.6,88.7,2.8,14.1,55,71
Assam,Barpeta,65.4,926,78.6,89.6,2.2,13.8,43,58
Assam,Bongaigaon,62.5,950,79.3,90.7,2.3,13.1,48,61
Assam,Cachar,66.1,928,85.3,85.5,3.5,18,53,69
Assam,Darrang,63.5,1003,73.9,88.2,3.1,12.3,70,91
Assam,Dhemaji,64.4,988,81.6,93.8,1.1,18.1,37,45
Assam,Dhubri,72.5,931,77.9,88.2,3.9,14.8,69,87
Assam,Dibrugarh,52.7,922,81.7,87.9,3.4,11.8,51,65
Assam,Goalpara,66.8,922,83,88.1,3.2,15,53,70
Assam,Golaghat,56.9,947,81.4,87.3,3.7,13.5,56,71
Assam,Hailakandi,72.7,822,85.8,85.8,2.9,23.8,52,87
Assam,Jorhat,53.5,980,84.8,88.6,3.4,11.4,50,62
Assam,Kamrup,48.3,1001,87.5,93.8,1.9,12.2,39,49
Assam,Karbi Anglong,59.6,928,85,92.6,1.3,13.7,60,78
Assam,Karimganj,74.5,925,84,82.8,3.5,18.7,65,77
Assam,Kokrajhar,65.9,892,72.9,89.3,1.8,14.9,74,101
Assam,Lakhimpur,60.2,984,84.6,90.6,2,16.6,48,58
Assam,Marigaon,67.6,914,83.6,88.8,3.9,14.9,63,78
Assam,Nagaon,66.9,958,81.2,88.1,2.6,15.7,62,79
Assam,Nalbari,55,993,85.8,93.6,1.1,11.2,58,81
Assam,North Cachar Hills,54.2,897,91.6,96.3,0.6,12.7,54,65
Assam,Sibsagar,52.9,931,83.8,87.4,3.5,11,56,72
Assam,Sonitpur,60.9,957,76.7,86.7,3,12.4,61,73
Assam,Tinsukia,58,954,74.3,82.9,4.2,13,50,66
Bihar,Bihar,87.2,925,68.7,95.5,2.9,19.3,48,70
Bihar,Araria,92,909,63.5,94.4,7,23.2,52,76
Bihar,Aurangabad,87.2,985,73,95.9,1.6,19.1,40,51
Bihar,Banka,90.8,989,66.2,92.8,2.1,19.5,44,57
Bihar,Begusarai,87.4,969,72.9,94.4,2.6,19.9,40,61
Bihar,Bhagalpur,83.5,959,72.2,93.5,1.6,20.8,49,64
Bihar,Bhojpur,83.5,936,75.8,94.3,1.6,18.1,41,55
Bihar,Buxar,85.1,997,74.6,95.3,1.3,17.9,48,70
Bihar,Darbhanga,87.5,878,62.9,96.3,8.1,17.7,44,77
Bihar,Gaya,86.9,967,70.9,93.5,2.3,17.2,49,62
Bihar,Gopalganj,82,901,70,98.6,2.3,18.9,46,59
Bihar,Jamui,90.3,976,63.5,91.6,2.1,19.7,51,69
Bihar,Jehanabad,90.1,952,71.3,96,1.9,18.6,47,61
Bihar,Kaimur (Bhabua),88,887,76,97,1.5,18.9,48,64
Bihar,Katihar,94.4,934,61.5,93,1.6,21.8,52,79
Bihar,Khagaria,89.6,927,69,97,2,21.2,59,95
Bihar,Kishanganj,106.4,967,62.6,90.9,11.3,24.1,56,84
Bihar,Lakhisarai,87.2,940,69.5,93.6,2,17.3,45,62
Bihar,Madhepura,89.3,939,65.6,96.3,1.8,22.4,64,92
Bihar,Madhubani,85.2,905,63.1,96.6,3,17.1,48,66
Bihar,Munger,79.2,940,75.6,94.3,2.6,18,43,57
Bihar,Muzaffarpur,85.9,896,68.5,97.6,3,16.5,55,84
Bihar,Nalanda,87.3,939,69,93.9,2.9,18,47,73
Bihar,Nawada,92.3,926,64.6,93.1,2.8,18.4,46,53
Bihar,Pashchim Champaran,90,980,63,97.9,1.1,19.4,48,72
Bihar,Patna,71.3,922,78.7,94.2,2,16.4,31,46
Bihar,Purba Champaran,89.5,896,63.4,94.6,1.5,21.6,48,65
Bihar,Purnia,93.4,887,60.6,96.3,11.6,20.3,53,91
Bihar,Rohtas,83.2,918,76.6,95.8,1.1,18.9,44,59
Bihar,Saharsa,93.8,920,66.9,92.9,2.4,23.7,55,82
Bihar,Samastipur,86.3,881,66.5,99,1.8,21.7,49,71
Bihar,Saran,98,921,72.2,98.4,3,16.6,49,63
Bihar,Sheikhpura,89.6,895,69.3,93.4,2.4,20.4,51,72
Bihar,Sheohar,98.2,927,61.9,94,3.2,23.3,43,79
Bihar,Sitamarhi,88.2,869,63.1,95.5,1.6,18.4,60,97
Bihar,Siwan,81.2,949,74.1,98.6,1.8,18.2,43,66
Bihar,Supaul,90.8,951,65.9,96.3,1.1,21.4,58,82
Bihar,Vaishali,89.8,885,72.3,98,2,19,40,60
Chhattisgarh,Chhattisgarh,60.96,955.6,76.45,94.28,2.7,15.93,45.78,60
Chhattisgarh,Bastar,57.54,930.25,66.26,93.95,3.78,13.58,39.56,52
Chhattisgarh,Bilaspur,61.5,923.86,78.82,93.17,2.62,18.63,38.39,50
Chhattisgarh,Dantewada,58.35,917.94,52.3,88.58,5.38,15.41,43.99,61
Chhattisgarh,Dhamtari,58.44,994.68,84.32,94.98,1.04,13.82,47.2,56
Chhattisgarh,Durg,57.19,995.69,83.47,95.35,2.51,14.16,34.93,43
Chhattisgarh,Janjgir-Champa,65.08,893.06,77.12,95.08,2.62,13.43,46.14,58
Chhattisgarh,Jashpur,64.04,980.79,71.35,93.82,2.69,13.5,56.17,84
Chhattisgarh,Kanker,50.74,903.57,81.42,97.49,1.61,15.09,45.72,62
Chhattisgarh,Kawardha,70.55,994.23,72.25,93.27,2.24,20.95,57.25,73
Chhattisgarh,Korba,56.27,1006.84,79.71,94.85,1.87,16.23,48.14,57
Chhattisgarh,Koriya,55.79,882.54,74.82,96.76,2.69,14.19,51.82,67
Chhattisgarh,Mahasamund,61.5,941.27,76.04,93.44,2.15,14.46,57.25,68
Chhattisgarh,Raigarh,61.42,993.98,75.8,93.61,3.07,13.73,55,67
Chhattisgarh,Raipur,62.49,974.48,78.57,94.45,2.47,18.35,44.98,55
Chhattisgarh,Rajnandgaon,59.95,1019.56,81.7,96.17,1.38,16.43,48.78,57
Chhattisgarh,Surguja,69.63,903.49,68.69,93.49,4.02,17.57,50.46,90
Jharkhand,Jharkhand,69.3,930,73.3,91.7,2.5,17.3,36,51
Jharkhand,Bokaro,60,885,79,94.2,1.3,17.5,28,38
Jharkhand,Chatra,79.4,950,69.9,92,2.6,19.1,42,53
Jharkhand,Deoghar,73.5,952,72,91.1,3.1,17.4,31,40
Jharkhand,Dhanbad,58.8,896,79.4,91.7,1.4,18.4,26,37
Jharkhand,Dumka,71.2,927,66.7,87.5,2.4,18.7,45,55
Jharkhand,Garhwa,81,980,67.4,96.1,2.1,18.7,33,47
Jharkhand,Giridih,80.9,994,69.2,92.7,2.6,17.5,28,37
Jharkhand,Godda,81.8,952,63.3,90.5,3.8,16.5,54,76
Jharkhand,Gumla,76.7,945,70.9,90.2,2.6,16.3,45,70
Jharkhand,Hazaribagh,66.4,896,76.5,96.4,1.9,15.4,29,35
Jharkhand,Kodarma,77.9,979,73.9,96.4,1.6,18.2,27,33
Jharkhand,Lohardaga,77.2,919,74,91.9,2.5,18.8,53,70
Jharkhand,Pakaur,76.6,914,59.3,80.5,6.9,22.5,52,78
Jharkhand,Palamu,80.6,964,69.4,93.6,2.3,16.8,40,52
Jharkhand,Pashchimi Singhbhum,69.8,977,67.6,84,4.2,17.3,53,87
Jharkhand,Purbi Singhbhum,55.5,881,78.7,92.5,1.5,14.7,25,34
Jharkhand,Ranchi,63.2,906,82.3,92.5,2.2,16.5,30,44
Jharkhand,Sahibganj,76.3,936,63.5,89.4,4.7,17.1,52,76
Madhya Pradesh,Madhya Pradesh,63.7,905.45,76.9,92.8,3.8,16.8,62.46,83
Madhya Pradesh,Balaghat,54.4,968.32,82.8,97.6,2.6,13.9,58.78,69
Madhya Pradesh,Barwani,74.2,960.89,60.6,77.2,11.3,20,65.66,89
Madhya Pradesh,Betul,57.4,862.89,81.5,97.2,5.4,15.2,60.8,70
Madhya Pradesh,Bhind,63.6,879.78,77.9,93,1.2,16,54.14,67
Madhya Pradesh,Bhopal,52.1,916.37,91.1,92.7,1.9,13.1,47.57,60
Madhya Pradesh,Chhatarpur,79.4,898.94,72.6,96.5,3,21.9,63.16,79
Madhya Pradesh,Chhindwara,53.5,908.93,79.4,97.5,4.4,14.5,69.02,77
Madhya Pradesh,Damoh,65.8,936.55,75.8,95.5,3.1,18.3,70.58,106
Madhya Pradesh,Datia,60.7,841.28,78.7,93.3,2.5,12.2,73.26,94
Madhya Pradesh,Dewas,65,908.94,75.9,92.3,2.7,15.6,55.63,76
Madhya Pradesh,Dhar,66.3,943.31,67.5,87,10.6,18,54.1,66
Madhya Pradesh,Dindori,63.9,1003.37,74.2,96.1,4.8,18.9,66.18,95
Madhya Pradesh,East Nimar,69.3,898.16,70,83.8,6.7,15.4,66.69,94
Madhya Pradesh,Guna,71.1,856.36,71.5,88.2,4,19.8,74.97,93
Madhya Pradesh,Gwalior,54.6,804.23,86.2,93.6,1,11.9,48.33,63
Madhya Pradesh,Harda,62.3,923.12,79.6,97.6,4.5,17.5,62.61,76
Madhya Pradesh,Hoshangabad,56.5,902.31,81.7,97.7,2.5,14.4,58.86,68
Madhya Pradesh,Indore,53.6,871.39,88.9,93.7,1.6,14.3,37.33,46
Madhya Pradesh,Jabalpur,52.1,821.05,87.8,95.9,2.8,15.7,47.8,54
Madhya Pradesh,Jhabua,82.1,935.22,50,72.3,13.8,17.6,63.82,86
Madhya Pradesh,Katni,62.2,966.96,79.8,96,2.5,17,64.67,83
Madhya Pradesh,Mandla,58.7,991.97,76.3,96.4,4.4,16.6,67.85,84
Madhya Pradesh,Mandsaur,59.7,902.27,76.7,90.1,3,12.1,60.29,76
Madhya Pradesh,Morena,65.9,855.46,77,92.8,1.3,16,59.18,77
Madhya Pradesh,Narsimhapur,59.3,874.65,80.4,97.9,3.6,19.3,61.88,69
Madhya Pradesh,Neemuch,58,935.47,78.1,92.8,2.4,15.9,54.98,70
Madhya Pradesh,Panna,76.1,959.47,70.7,94.3,4.1,20,84.78,127
Madhya Pradesh,Raisen,68.4,948.75,75.5,95.9,3.9,19,69.01,88
Madhya Pradesh,Rajgarh,66.1,896,66.5,91.1,1.9,17.9,60.15,78
Madhya Pradesh,Ratlam,64,886.97,77.4,90.8,6.2,18.9,64.74,92
Madhya Pradesh,Rewa,74.3,957.2,76.3,97.7,2.1,18.1,68.03,100
Madhya Pradesh,Sagar,63.7,898.01,81.8,96.1,2.1,18.8,69.37,92
Madhya Pradesh,Satna,68.9,896.51,76,96.8,4,18,83.37,121
Madhya Pradesh,Sehore,68.8,910.4,76.7,96,2.5,19.2,66.73,84
Madhya Pradesh,Seoni,58.4,930.36,78.6,97.5,4.5,16.8,66.91,85
Madhya Pradesh,Shahdol,57.1,944.83,74,98.4,2.3,14.2,70.83,85
Madhya Pradesh,Shajapur,69.4,886.02,74,90.3,2.5,16.5,56.27,80
Madhya Pradesh,Sheopur,71.9,981.15,62,88.8,2.4,15.1,71.67,98
Madhya Pradesh,Shivpuri,79.8,900.5,73.5,91.1,2.8,21.2,68.89,100
Madhya Pradesh,Sidhi,70.8,910.91,71.3,97.5,3.2,18.4,67.21,112
Madhya Pradesh,Tikamgarh,70.9,891.85,69.2,96.9,2.5,18.8,61.3,84
Madhya Pradesh,Ujjain,63.4,928.77,76.4,87.7,3.2,17.5,54.1,70
Madhya Pradesh,Umaria,62.8,929.5,73.6,97.3,3.9,19.2,59.78,99
Madhya Pradesh,Vidisha,71.8,915.15,80.3,97.8,2.7,20.4,65.02,94
Madhya Pradesh,West Nimar,62.3,874.64,73.7,84.5,5.5,14.3,56.45,76
Odisha,Odisha,58.45,908,79.51,84.94,3.67,11.5,56,75
Odisha,Anugul,54.58,879,84.04,83.78,3.46,10.3,48,59
Odisha,Balangir,60.59,938,76.76,85.04,3.63,10.7,97,111
Odisha,Baleshwar,61.27,928,89.2,89.56,2.36,12,45,51
Odisha,Bargarh,50.71,847,82.58,79.47,4.27,7.6,60,69
Odisha,Baudh,62.92,931,77.73,86.42,3.21,18.8,57,85
Odisha,Bhadrak,63.26,837,86.63,86.29,2.63,12.3,48,55
Odisha,Cuttack,55.97,946,90.75,88.26,2.42,12.6,56,85
Odisha,Debagarh,58.75,959,82.43,82.25,4.74,9.6,60,76
Odisha,Dhenkanal,61.5,864,83.68,83.23,4.06,10.1,67,78
Odisha,Gajapati,58.02,910,63.67,84.54,2.71,12.4,56,81
Odisha,Ganjam,60.48,877,78.4,85.2,3.3,10.6,56,87
Odisha,Jagatsinghapur,52.17,943,89.51,97.19,0.75,10.7,48,62
Odisha,Jajapur,57.37,911,84.52,86.6,4.26,10.2,48,57
Odisha,Jharsuguda,50.51,906,84.93,84.38,3.57,8.9,42,48
Odisha,Kalahandi,57.61,905,67.21,82.81,4.56,13.2,54,73
Odisha,Kandhamal,62.44,884,71.43,93.39,2.36,12.1,82,139
Odisha,Kendrapara,64.74,961,86.18,87.49,1.98,9.5,58,65
Odisha,Kendujhar,59.19,940,81.42,82.23,6.21,11.1,53,69
Odisha,Khordha,51.59,903,90.59,88.84,1.96,10.5,67,96
Odisha,Koraput,64.51,911,56.22,76.04,7.25,17.1,48,65
Odisha,Malkangiri,67.95,941,53.48,81.12,4.16,17.2,48,73
Odisha,Mayurbhanj,61.74,933,68.02,85.4,4.68,11.2,47,62
Odisha,Nabarangapur,67.89,944,54.68,71.28,6.08,16.6,50,83
Odisha,Nuapada,67.86,926,65.27,86.19,1.79,14.9,60,80
Odisha,Nayagarh,63.28,831,86.95,85.75,1.62,11.4,49,70
Odisha,Puri,51.1,899,90.88,89.49,1.42,8.6,75,101
Odisha,Rayagada,58.68,900,60.39,78.84,4.62,14.1,58,98
Odisha,Sambalpur,53.38,889,83.81,78.82,4.88,9.5,47,62
Odisha,Sonapur,57.82,923,82.36,87.8,2.52,13.1,49,77
Odisha,Sundargarh,54.18,904,82.64,88.16,4.58,10.5,47,57
Rajasthan,Rajasthan,68.4,887,74.2,88.3,2.8,17.7,55,74
Rajasthan,Ajmer,64.6,897,80.8,86.7,2.9,17,50,70
Rajasthan,Alwar,65.4,897,78.9,95.2,0.7,16.5,52,74
Rajasthan,Banswara,79.7,922,66.3,85.9,4.6,22.8,57,95
Rajasthan,Baran,66.9,917,75.4,86.8,3.1,18.5,55,71
Rajasthan,Barmer,94.4,907,61.6,79.9,6.8,25.5,70,85
Rajasthan,Bharatpur,72.3,870,79.7,90.1,1,17.4,49,70
Rajasthan,Bhilwara,68.5,996,64.7,84,3.8,14.8,64,80
Rajasthan,Bikaner,69.2,914,77.7,84.8,1.7,18,47,67
Rajasthan,Bundi,62,924,74.3,88.6,1.9,15.3,65,85
Rajasthan,Chittaurgarh,63.3,909,68.3,83.4,1.6,15.2,63,77
Rajasthan,Churu,71.7,900,77.2,89.7,1.8,17,48,62
Rajasthan,Dausa,73.4,852,76.4,93.7,1.3,15.1,53,82
Rajasthan,Dhaulpur,78.7,850,70.1,91.6,1.8,22.7,58,73
Rajasthan,Dungarpur,75.6,899,66.1,87.3,3.3,20.8,63,81
Rajasthan,Ganganagar,55.7,895,79.1,89.7,2.7,15.9,52,71
Rajasthan,Hanumangarh,59.3,879,74.2,91.4,1.9,16.8,45,63
Rajasthan,Jaipur,60.9,850,83.5,92.9,1.9,16.9,50,65
Rajasthan,Jaisalmer,80.4,850,70.9,78.2,4.4,17.3,50,71
Rajasthan,Jalor,83.9,885,59.4,78.5,5.9,19.8,72,94
Rajasthan,Jhalawar,67.3,888,65.5,84.9,4.4,17,63,78
Rajasthan,Jhunjhunun,63.5,920,81.5,94.1,4.3,17.1,48,69
Rajasthan,Jodhpur,69.3,915,75.4,87.3,3.1,17.5,46,63
Rajasthan,Karauli,78.1,837,67.5,89.5,2.3,20.5,69,81
Rajasthan,Kota,57.7,876,79,89.3,2.6,16,36,47
Rajasthan,Nagaur,64.1,851,72.6,89.8,2.6,16.8,52,68
Rajasthan,Pali,73.1,887,67,86.3,2.1,15.9,54,71
Rajasthan,Rajsamand,72.5,832,73.6,86.8,3.2,18.9,59,80
Rajasthan,Sawai Madhopur,69,805,69.5,91.8,1.3,19.6,67,80
Rajasthan,Sikar,63.6,859,82.1,93.5,2,17.4,50,74
Rajasthan,Sirohi,70.9,901,61.2,76.6,3.6,16.7,65,85
Rajasthan,Tonk,65,943,71.3,90.2,2.3,15.2,57,79
Rajasthan,Udaipur,74.4,880,67.8,80.3,5.3,20.6,63,91
Uttar Pradesh,Uttar Pradesh,75.81,921.35,74.29,87.31,3.16,16.51,68.03,90
Uttar Pradesh,Agra,67.76,839.62,84.9,83.18,2.35,16.75,51.4,69
Uttar Pradesh,Aligarh,73.61,1080.63,77.48,83.37,3.22,18.48,70.04,90
Uttar Pradesh,Allahabad,76.34,940.31,73.31,91.45,3.35,16.24,81.41,104
Uttar Pradesh,Ambedkar Nagar,84.25,928.85,73.08,94.68,2.28,15.04,63.16,78
Uttar Pradesh,Auraiya,71.71,853.64,80.96,92.51,3.72,15.29,58.45,84
Uttar Pradesh,Azamgarh,81.39,907.07,73.31,94.72,2.23,14.82,74.19,89
Uttar Pradesh,Baghpat,69.34,984.41,80.2,90.39,1.56,12.58,52.24,70
Uttar Pradesh,Bahraich,89.51,963.93,58.57,76.8,6.84,24.06,66.49,105
Uttar Pradesh,Ballia,79.57,853.74,74.87,95.1,2.48,16.14,68.8,82
Uttar Pradesh,Balrampur,94.28,1002.47,53.54,80.26,2.9,24.94,87.11,117
Uttar Pradesh,Banda,83,902.46,71.79,89,3.36,18.24,55.25,96
Uttar Pradesh,Barabanki,78.71,926.24,68.65,85.68,4.17,17.79,67.83,97
Uttar Pradesh,Bareilly,75.11,996.32,72.28,73.91,5.95,17.2,78.01,104
Uttar Pradesh,Basti,82.91,938.18,69.74,91.06,2.61,15.89,80.78,106
Uttar Pradesh,Bijnor,73.59,837.32,78.83,84.87,1.99,16.09,61.52,79
Uttar Pradesh,Budaun,87.21,827.87,67.05,72.57,3.07,21.2,84.28,108
Uttar Pradesh,Bulandshahar,72.25,984.94,78.65,86.18,1.84,17.14,67.87,89
Uttar Pradesh,Chandauli,79.03,942.98,73.47,92.15,3.8,16.7,77.03,98
Uttar Pradesh,Chitrakoot,83.47,933.73,69.07,90.62,3.37,15.96,67.32,119
Uttar Pradesh,Deoria,83.16,1011.33,72.73,93.77,2.42,15.54,69.76,83
Uttar Pradesh,Etah,83.18,918.75,77.06,84.52,1.61,19.68,66.55,86
Uttar Pradesh,Etawah,67.34,872,81.62,93.83,3.19,14.38,55.93,85
Uttar Pradesh,Faizabad,72.53,876.28,72.51,92.98,2.36,13.75,88.26,115
Uttar Pradesh,Farrukhabad,72.19,884.6,76.07,87.63,3.58,18.46,77.61,98
Uttar Pradesh,Fatehpur,75.5,895.17,74.03,89.64,2.77,15.73,54.93,81
Uttar Pradesh,Firozabad,76.75,841.27,81.95,88.47,2.58,16.35,56.46,79
Uttar Pradesh,Gautam Buddha Nagar,64.54,864.62,86.95,93.07,1.24,17.27,57.26,70
Uttar Pradesh,Ghaziabad,59.52,902.07,88.29,89,1.78,14.31,45.56,59
Uttar Pradesh,Ghazipur,83.71,969.43,75.67,94.3,1.01,14.73,77.21,94
Uttar Pradesh,Gonda,81.3,941.31,66.59,86.48,5.64,19.17,71.22,97
Uttar Pradesh,Gorakhpur,77.93,926.51,74.84,92.55,3.19,16.02,61.77,76
Uttar Pradesh,Hamirpur,70.95,911.48,73.57,91.76,2.75,16.72,44.94,66
Uttar Pradesh,Hardoi,82.18,981.58,70.65,84.65,5.71,18.5,81.35,118
Uttar Pradesh,Hathras,75.56,905.46,79.61,86.37,1.93,14.9,57.18,78
Uttar Pradesh,Jalaun,68.13,938.15,75.8,89.41,5.36,14.02,65.02,97
Uttar Pradesh,Jaunpur,82.72,860.54,75.9,94.92,2.01,14,74.88,91
Uttar Pradesh,Jhansi,58.45,851.32,79.78,91.88,2.4,12.52,40.84,59
Uttar Pradesh,Jyotiba Phule Nagar,75.68,858.26,71.93,86.38,2.12,18.1,72.32,92
Uttar Pradesh,Kannauj,75.36,924.83,80.59,85.97,2.22,14.16,79.39,102
Uttar Pradesh,Kanpur Dehat,69.62,955.82,78.55,90.8,4.29,10.86,64.79,94
Uttar Pradesh,Kanpur Nagar,53.74,888.73,85.57,90.33,2.37,11.14,36.57,50
Uttar Pradesh,Kaushambi,87.11,869.48,63.86,86.6,3.44,18.48,82.15,113
Uttar Pradesh,Kheri,78.03,922.18,69.2,82.88,4.84,18.61,78.37,117
Uttar Pradesh,Kushinagar,86.93,947.49,67.09,92.46,3.1,19.63,80.24,99
Uttar Pradesh,Lalitpur,79.88,925.8,69.17,91.51,3.73,19.14,72.93,114
Uttar Pradesh,Lucknow,57.77,873.3,82.07,89.29,3.21,11.74,44.28,58
Uttar Pradesh,Maharajganj,85.29,912.2,65.86,92.51,3.15,18.29,78.01,96
Uttar Pradesh,Mahoba,76.07,873.83,70.73,88.9,3.36,17.32,45.53,73
Uttar Pradesh,Mainpuri,76.69,1056.29,83.93,91.75,1.28,13.43,50.27,78
Uttar Pradesh,Mathura,72.47,860.28,81.3,85.31,2.1,14.87,44.03,58
Uttar Pradesh,Mau,81.17,934.62,74.59,94.63,2.52,12.97,73.4,86
Uttar Pradesh,Meerut,69.17,871.98,80.29,83.9,2.27,17.67,49.61,59
Uttar Pradesh,Mirzapur,79.95,856.41,71.77,90.79,2.6,13.95,79.85,105
Uttar Pradesh,Moradabad,74.04,1064.28,71.03,80.91,3.04,17.09,63.53,80
Uttar Pradesh,Muzaffarnagar,70.26,905.34,77.8,83,2.18,14.82,51.3,71
Uttar Pradesh,Pilibhit,73.17,960.32,71.56,78.5,4.42,16.77,73.36,91
Uttar Pradesh,Pratapgarh,81.67,942.75,71.23,93.14,2.46,14.12,83.63,104
Uttar Pradesh,Rae Bareli,72.86,890.16,70.97,87.93,3.13,14.29,53.24,80
Uttar Pradesh,Rampur,70.99,918.27,68.63,73.93,6.54,15.81,60.08,86
Uttar Pradesh,Saharanpur,68.46,920.89,80.42,82.91,2.39,17.2,76.4,99
Uttar Pradesh,Sant Kabir Nagar,95.47,942.58,68.16,88.73,2.35,20.49,63.41,91
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),78.7,886.26,72.77,93.74,2.32,17,81.79,106
Uttar Pradesh,Shahjahanpur,82.15,907.13,71.87,79.94,3.18,20.45,80.39,100
Uttar Pradesh,Shrawasti,97.23,856.63,51.84,79.96,4.13,27.79,96.36,130
Uttar Pradesh,Siddharthnagar,105.65,956.96,60.48,84.91,3.64,26.38,87.18,116
Uttar Pradesh,Sitapur,83.91,993.04,67.15,81.97,4.13,19.25,80.19,114
Uttar Pradesh,Sonbhadra,85.53,930.56,66.95,87.41,3.25,19.48,68.59,99
Uttar Pradesh,Sultanpur,76.09,937.63,73.61,93.95,4.23,14.42,45.1,66
Uttar Pradesh,Unnao,68.25,937.23,74.1,87.36,2.83,14.15,58.33,83
Uttar Pradesh,Varanasi,64.82,847.53,79.17,91.36,3,11.57,71.59,90
Uttarakhand,Uttarakhand,64.32,872.77,82.81,93.86,1.74,11.65,39.62,48
Uttarakhand,Almora,73.55,878.28,85.46,98.27,0.3,9.74,20.39,24
Uttarakhand,Bageshwar,72.01,828.47,85.17,97.87,0.31,8.03,31.46,38
Uttarakhand,Chamoli,66.47,860.54,88.95,98.67,0.22,12.41,25.55,29
Uttarakhand,Champawat,72.21,877.64,84.38,96.43,0.44,11.35,33.58,42
Uttarakhand,Dehradun,54.03,885.64,86.79,94.65,2.96,10.09,34.14,40
Uttarakhand,Haridwar,65.37,874.5,76.04,86.66,3.13,14.55,63.91,77
Uttarakhand,Nainital,55.5,916.63,91.1,94.74,0.89,10.99,28.92,36
Uttarakhand,Pauri Garhwal,68.18,878.93,82.89,97.57,2.71,10.87,37.42,45
Uttarakhand,Pithoragarh,69.07,767.4,87.31,98.28,0.27,9.28,22.91,27
Uttarakhand,Rudraprayag,73.57,856.77,84.6,98.87,0.09,10.95,19.22,26
Uttarakhand,Tehri Garhwal,77.8,869.83,75.66,97.99,2.07,12.35,53.25,65
Uttarakhand,Udham Singh Nagar,59.59,869.49,79.53,88.78,1.8,12.94,34.59,44
Uttarakhand,Uttarkashi,67.22,909.12,79.96,97.98,1.76,11.24,41.57,51
